title,tags
Mission: Impossible,ethan hunt leader crack espionage team surprised learn operation gone Adventure  Action  Thriller buena noventas corta BrianDePalma TomCruise
DragonHeart,king bowen earth draco time majestic firebreathers soared sky harder Fantasy buena noventas corta RobCohen DennisQuaid
James and the Giant Peach,young orphan boy james spill magic bag crocodile tongue giant Adventure  Animation  Family buena noventas corta HenrySelick MiriamMargolyes
Space Jam,attempt win basketball champion michael earn freedom looney tune seek Animation  Comedy  Drama  Family  Fantasy buena noventas corta JoePytka MichaelJordan
Oliver & Company,oliver meet thieving mission life change canine criminal led evil Animation  Comedy  Family buena ochentas corta GeorgeScribner JoeyLawrence
Dead Man,murdering man accountant william blake encounter strange north american named Drama  Fantasy  Western buena noventas media JimJarmusch JohnnyDepp
The Visitors,thcentury visitor try adapting wildly confusing modern world avoid stuck Fantasy  Comedy  Science Fiction buena noventas corta Jean-MariePoiré JeanReno
The Craft,dare cross teacher rival meddlesome school newcomer fall clique teen Drama  Fantasy  Horror  Thriller buena noventas corta AndrewFleming RobinTunney
The Rock,renegade marine stockpile chemical san francisco bay tourist hostage leader Action  Adventure  Thriller buena noventas media MichaelBay SeanConnery
Twister,tv weatherman tornado attempt insert revolutionary measuring device Action  Adventure  Drama buena noventas corta JandeBont HelenHunt
Ghost in the Shell,cybernetics cybernetically puppetmaster barrier world broken vulnerability human form brainhacking highlywanted Action  Animation  Science Fiction buena noventas corta MamoruOshii AtsukoTanaka
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,general nuclear strike discovered war peter seller play multiple role Drama  Comedy  War buena sesentas corta StanleyKubrick PeterSellers
Trainspotting,allure influence renton deeply immersed edinburgh drug scene try clean Drama  Crime buena noventas corta DannyBoyle EwanMcGregor
Independence Day,july alien mothership saucershaped destroyer lay waste major plant nuclear Action  Adventure  Science Fiction buena noventas media RolandEmmerich WillSmith
The Hunchback of Notre Dame,quasi save people city festival fool cruel crowd jeer rescued Drama  Animation  Family buena noventas corta GaryTrousdale TomHulce
The Cable Guy,chip stevens single steven hook doesnt apartment cable stalking capable left Comedy  Drama  Thriller regular noventas corta BenStiller JimCarrey
Eraser,protection protect lee marshall john kruger life evidence weapon manufacturer work Action  Drama  Mystery  Thriller regular noventas corta ChuckRussell ArnoldSchwarzenegger
The Nutty Professor,sherman love fasttalking pumpedup plumped size win experimental murphy star Fantasy  Comedy  Romance  Science Fiction regular noventas corta TomShadyac EddieMurphy
Daylight,tunnel explosion collapsing collapse armed robber fleeing police head man skill Action  Adventure  Thriller regular noventas corta RobCohen SylvesterStallone
The Frighteners,killing killed wife deal crazy fbi life try frank bannister pass Horror  Comedy buena noventas corta PeterJackson MichaelJ.Fox
A Time to Kill,young lawyer defends black man accused murdering raped sparking rebirth Crime  Drama  Thriller buena noventas media JoelSchumacher MatthewMcConaughey
Ransom,rich man son kidnapped cooperates police criminal Action  Thriller buena noventas corta RonHoward MelGibson
Matilda,parent sweet girl matilda principal start school telekinetic power newt Comedy  Family  Fantasy buena noventas corta DannyDeVito MaraWilson
Escape from L.A.,save los angeles moral crime movement doomsday weapon cataclysmic penal Action  Adventure  Science Fiction  Thriller regular noventas corta JohnCarpenter KurtRussell
The Godfather,corleone crime family michael wouldbe killer launching campaign bloody year Drama  Crime excelente setentas media FrancisFordCoppola MarlonBrando
Singin' in the Rain,voice onscreen movie lockwood lina love kathy selden film transformed Comedy  Music  Romance buena cincuentas corta StanleyDonen GeneKelly
Breakfast at Tiffany's,hunter holly aspiring writer paul building wealthy woman dime revealing Comedy  Drama  Romance buena sesentas corta BlakeEdwards AudreyHepburn
Vertigo,san francisco detective suffering acrophobia investigates strange activity old friend Mystery  Romance  Thriller buena cincuentas media AlfredHitchcock JamesStewart
Rear Window,jeff photographer visiting nurse stella observing neighbor begin suspect wife Drama  Mystery  Thriller buena cincuentas corta AlfredHitchcock JamesStewart
North by Northwest,chase Mystery  Thriller buena cincuentas media AlfredHitchcock CaryGrant
The Apartment,baxter minor clerk huge new york insurance company discovers quick Comedy  Drama  Romance buena sesentas media BillyWilder JackLemmon
Some Like It Hot,musician witness mob hit struggle tour make opportunity join band Comedy  Romance buena cincuentas media BillyWilder MarilynMonroe
Charade,peter paris husband french alp million dollar quartet lampert fall Comedy  Mystery  Romance  Thriller buena sesentas corta StanleyDonen CaryGrant
Casablanca,cynical american expatriate meet casablanca morocco december complication Drama  Romance buena cuarentas corta MichaelCurtiz HumphreyBogart
The Maltese Falcon,private detective statuette involves Mystery  Crime  Thriller buena cuarentas corta JohnHuston HumphreyBogart
My Fair Lady,misogynistic snobbish phonetics professor agrees wager girl make presentable high Drama  Family  Music  Romance buena sesentas media GeorgeCukor AudreyHepburn
Roman Holiday,anns regal identity bet overwhelmed suffocating schedule touring european princess ann Comedy  Romance buena cincuentas corta WilliamWyler GregoryPeck
The Wizard of Oz,young dorothy world make friend lion scarecrow tin man thing Adventure  Family  Fantasy buena treintas corta VictorFleming JudyGarland
Gone with the Wind,american south civil war manipulative woman roguish man carry turbulent Drama  Romance  War buena treintas larga VictorFleming VivienLeigh
Sunset Boulevard,hack screenwriter writes screenplay hollywood Drama buena cincuentas corta BillyWilder WilliamHolden
Citizen Kane,newspaper magnate charles foster kane taken mother boy tyrannical wounding Mystery  Drama buena cuarentas corta OrsonWelles OrsonWelles
2001: A Space Odyssey,mysterious object buried beneath lunar surface set advanced help hal Science Fiction  Mystery  Adventure buena sesentas media StanleyKubrick KeirDullea
All About Eve,margo margos eve power cynical drama glimpse idol perfect pattern turmoil Drama buena cincuentas media JosephL.Mankiewicz BetteDavis
